ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,DE-2615,SE-2615,Xray-W,SE-1631,Backscatter,Xray-NaI,Esc-NaI,continuum
3133,1166.908,1249.172,1249.172,1224.198,1165.408,141.990,371.812,0.000,29.612,0.000,0.000,0.000,0.000,345.657,274.830,0.000,60.297,0.000,0.000,0.000,0.000
3134,1167.288,1185.481,1185.481,1222.830,1165.492,141.975,371.879,0.000,29.612,0.000,0.000,0.000,0.000,345.718,274.879,0.000,58.768,0.000,0.000,0.000,0.000
3135,1167.668,1284.716,1284.716,1221.489,1165.575,141.962,371.944,0.000,29.612,0.000,0.000,0.000,0.000,345.779,274.927,0.000,57.266,0.000,0.000,0.000,0.000
3136,1168.048,1252.795,1252.795,1220.174,1165.659,141.950,372.008,0.000,29.612,0.000,0.000,0.000,0.000,345.839,274.974,0.000,55.791,0.000,0.000,0.000,0.000
3137,1168.427,1207.098,1207.098,1218.885,1165.742,141.940,372.071,0.000,29.612,0.000,0.000,0.000,0.000,345.897,275.021,0.000,54.343,0.000,0.000,0.000,0.000
3138,1168.807,1125.719,1125.719,1217.623,1165.825,141.932,372.134,0.000,29.612,0.000,0.000,0.000,0.000,345.955,275.067,0.000,52.922,0.000,0.000,0.000,0.000
3139,1169.187,1211.802,1211.802,1216.387,1165.909,141.925,372.195,0.000,29.613,0.000,0.000,0.000,0.000,346.013,275.113,0.000,51.529,0.000,0.000,0.000,0.000
3140,1169.567,1193.248,1193.248,1215.177,1165.992,141.920,372.256,0.000,29.613,0.000,0.000,0.000,0.000,346.069,275.157,0.000,50.162,0.000,0.000,0.000,0.000
3141,1169.947,1201.336,1201.336,1213.993,1166.075,141.917,372.316,0.000,29.614,0.000,0.000,0.000,0.000,346.124,275.202,0.000,48.821,0.000,0.000,0.000,0.000
3142,1170.327,1188.410,1188.410,1212.835,1166.159,141.915,372.374,0.000,29.615,0.000,0.000,0.000,0.000,346.179,275.245,0.000,47.507,0.000,0.000,0.000,0.000
3143,1170.707,1151.714,1151.714,1211.703,1166.242,141.915,372.433,0.000,29.616,0.000,0.000,0.000,0.000,346.233,275.288,0.000,46.219,0.000,0.000,0.000,0.000
3144,1171.087,1202.177,1202.177,1210.596,1166.325,141.916,372.490,0.000,29.617,0.000,0.000,0.000,0.000,346.286,275.330,0.000,44.956,0.000,0.000,0.000,0.000
3145,1171.467,1164.951,1164.951,1209.514,1166.409,141.919,372.546,0.000,29.618,0.000,0.000,0.000,0.000,346.339,275.372,0.000,43.720,0.000,0.000,0.000,0.000
3146,1171.846,1256.569,1256.569,1208.458,1166.492,141.923,372.602,0.000,29.619,0.000,0.000,0.000,0.000,346.391,275.413,0.000,42.509,0.000,0.000,0.000,0.000
3147,1172.226,1200.481,1200.481,1207.426,1166.575,141.929,372.657,0.000,29.621,0.000,0.000,0.000,0.000,346.442,275.454,0.000,41.323,0.000,0.000,0.000,0.000
3148,1172.606,1219.179,1219.179,1206.419,1166.659,141.937,372.711,0.000,29.622,0.000,0.000,0.000,0.000,346.492,275.494,0.000,40.163,0.000,0.000,0.000,0.000
3149,1172.986,1183.797,1183.797,1205.437,1166.742,141.946,372.765,0.000,29.624,0.000,0.000,0.000,0.000,346.542,275.534,0.000,39.027,0.000,0.000,0.000,0.000
3150,1173.366,1186.184,1186.184,1204.479,1166.825,141.957,372.817,0.000,29.625,0.000,0.000,0.000,0.000,346.591,275.573,0.000,37.916,0.000,0.000,0.000,0.000
3151,1173.746,1268.415,1268.415,1203.545,1166.909,141.970,372.869,0.000,29.627,0.000,0.000,0.000,0.000,346.639,275.611,0.000,36.829,0.000,0.000,0.000,0.000
3152,1174.126,1173.638,1173.638,1202.635,1166.992,141.984,372.921,0.000,29.628,0.000,0.000,0.000,0.000,346.687,275.649,0.000,35.766,0.000,0.000,0.000,0.000
3153,1174.506,1184.868,1184.868,1201.749,1167.075,142.000,372.971,0.000,29.630,0.000,0.000,0.000,0.000,346.734,275.687,0.000,34.726,0.000,0.000,0.000,0.000
3154,1174.886,1220.797,1220.797,1200.886,1167.159,142.018,373.022,0.000,29.632,0.000,0.000,0.000,0.000,346.781,275.724,0.000,33.711,0.000,0.000,0.000,0.000
3155,1175.266,1132.167,1132.167,1200.046,1167.242,142.037,373.071,0.000,29.634,0.000,0.000,0.000,0.000,346.827,275.760,0.000,32.718,0.000,0.000,0.000,0.000
3156,1175.646,1180.177,1180.177,1199.230,1167.325,142.057,373.120,0.000,29.636,0.000,0.000,0.000,0.000,346.872,275.796,0.000,31.748,0.000,0.000,0.000,0.000
3157,1176.026,1175.339,1175.339,1198.436,1167.409,142.080,373.168,0.000,29.638,0.000,0.000,0.000,0.000,346.917,275.832,0.000,30.801,0.000,0.000,0.000,0.000
3158,1176.406,1199.187,1199.187,1197.664,1167.492,142.104,373.216,0.000,29.640,0.000,0.000,0.000,0.000,346.961,275.867,0.000,29.876,0.000,0.000,0.000,0.000
3159,1176.786,1180.645,1180.645,1196.914,1167.575,142.130,373.263,0.000,29.642,0.000,0.000,0.000,0.000,347.005,275.902,0.000,28.973,0.000,0.000,0.000,0.000
3160,1177.165,1193.572,1193.572,1196.187,1167.659,142.157,373.309,0.000,29.644,0.000,0.000,0.000,0.000,347.048,275.936,0.000,28.092,0.000,0.000,0.000,0.000
3161,1177.545,1142.486,1142.486,1195.481,1167.742,142.186,373.355,0.000,29.646,0.000,0.000,0.000,0.000,347.091,275.970,0.000,27.232,0.000,0.000,0.000,0.000
3162,1177.925,1258.189,1258.189,1194.796,1167.825,142.217,373.401,0.000,29.648,0.000,0.000,0.000,0.000,347.133,276.004,0.000,26.393,0.000,0.000,0.000,0.000
3163,1178.305,1116.331,1116.331,1194.132,1167.909,142.249,373.445,0.000,29.651,0.000,0.000,0.000,0.000,347.175,276.037,0.000,25.575,0.000,0.000,0.000,0.000
3164,1178.685,1175.643,1175.643,1193.489,1167.992,142.283,373.490,0.000,29.653,0.000,0.000,0.000,0.000,347.216,276.070,0.000,24.777,0.000,0.000,0.000,0.000
3165,1179.065,1204.174,1204.174,1192.867,1168.075,142.319,373.534,0.000,29.655,0.000,0.000,0.000,0.000,347.257,276.102,0.000,23.999,0.000,0.000,0.000,0.000
3166,1179.445,1125.022,1125.022,1192.265,1168.159,142.357,373.577,0.000,29.657,0.000,0.000,0.000,0.000,347.297,276.134,0.000,23.241,0.000,0.000,0.000,0.000
3167,1179.825,1187.733,1187.733,1191.682,1168.242,142.396,373.620,0.000,29.660,0.000,0.000,0.000,0.000,347.337,276.166,0.000,22.503,0.000,0.000,0.000,0.000
3168,1180.205,1146.787,1146.787,1191.120,1168.325,142.437,373.663,0.000,29.662,0.000,0.000,0.000,0.000,347.377,276.198,0.000,21.784,0.000,0.000,0.000,0.000
3169,1180.585,1218.655,1218.655,1190.576,1168.409,142.480,373.705,0.000,29.664,0.000,0.000,0.000,0.000,347.416,276.229,0.000,21.083,0.000,0.000,0.000,0.000
3170,1180.965,1195.108,1195.108,1190.052,1168.492,142.524,373.747,0.000,29.667,0.000,0.000,0.000,0.000,347.455,276.259,0.000,20.401,0.000,0.000,0.000,0.000
3171,1181.345,1191.643,1191.643,1189.547,1168.575,142.570,373.788,0.000,29.669,0.000,0.000,0.000,0.000,347.493,276.290,0.000,19.737,0.000,0.000,0.000,0.000
3172,1181.725,1164.116,1164.116,1189.060,1168.659,142.618,373.829,0.000,29.671,0.000,0.000,0.000,0.000,347.531,276.320,0.000,19.090,0.000,0.000,0.000,0.000
3173,1182.105,1125.954,1125.954,1188.591,1168.742,142.667,373.869,0.000,29.674,0.000,0.000,0.000,0.000,347.569,276.350,0.000,18.461,0.000,0.000,0.000,0.000
3174,1182.485,1159.341,1159.341,1188.140,1168.825,142.719,373.909,0.000,29.676,0.000,0.000,0.000,0.000,347.606,276.380,0.000,17.850,0.000,0.000,0.000,0.000
3175,1182.865,1176.643,1176.643,1187.706,1168.909,142.772,373.949,0.000,29.679,0.000,0.000,0.000,0.000,347.643,276.409,0.000,17.255,0.000,0.000,0.000,0.000
3176,1183.245,1209.339,1209.339,1187.291,1168.992,142.826,373.988,0.000,29.681,0.000,0.000,0.000,0.000,347.680,276.438,0.000,16.676,0.000,0.000,0.000,0.000
3177,1183.625,1176.584,1176.584,1186.892,1169.075,142.883,374.028,0.000,29.684,0.000,0.000,0.000,0.000,347.716,276.467,0.000,16.114,0.000,0.000,0.000,0.000
3178,1184.005,1146.265,1146.265,1186.509,1169.159,142.941,374.066,0.000,29.686,0.000,0.000,0.000,0.000,347.752,276.496,0.000,15.568,0.000,0.000,0.000,0.000
3179,1184.385,1221.194,1221.194,1186.144,1169.242,143.001,374.105,0.000,29.689,0.000,0.000,0.000,0.000,347.788,276.524,0.000,15.037,0.000,0.000,0.000,0.000
3180,1184.765,1163.103,1163.103,1185.794,1169.325,143.063,374.143,0.000,29.691,0.000,0.000,0.000,0.000,347.823,276.552,0.000,14.521,0.000,0.000,0.000,0.000
3181,1185.145,1131.422,1131.422,1185.460,1169.409,143.127,374.181,0.000,29.694,0.000,0.000,0.000,0.000,347.858,276.580,0.000,14.020,0.000,0.000,0.000,0.000
3182,1185.525,1190.040,1190.040,1185.142,1169.492,143.193,374.218,0.000,29.696,0.000,0.000,0.000,0.000,347.893,276.608,0.000,13.534,0.000,0.000,0.000,0.000
3183,1185.905,1211.728,1211.728,1184.840,1169.575,143.260,374.256,0.000,29.699,0.000,0.000,0.000,0.000,347.928,276.636,0.000,13.062,0.000,0.000,0.000,0.000
3184,1186.285,1204.890,1204.890,1184.552,1169.659,143.329,374.293,0.000,29.701,0.000,0.000,0.000,0.000,347.963,276.663,0.000,12.604,0.000,0.000,0.000,0.000
3185,1186.665,1202.812,1202.812,1184.279,1169.742,143.400,374.329,0.000,29.704,0.000,0.000,0.000,0.000,347.997,276.690,0.000,12.159,0.000,0.000,0.000,0.000
3186,1187.045,1117.184,1117.184,1184.021,1169.826,143.473,374.366,0.000,29.706,0.000,0.000,0.000,0.000,348.031,276.717,0.000,11.728,0.000,0.000,0.000,0.000
3187,1187.425,1120.192,1120.192,1183.777,1169.909,143.548,374.402,0.000,29.709,0.000,0.000,0.000,0.000,348.064,276.744,0.000,11.310,0.000,0.000,0.000,0.000
3188,1187.805,1130.503,1130.503,1183.547,1169.992,143.624,374.438,0.000,29.711,0.000,0.000,0.000,0.000,348.098,276.771,0.000,10.904,0.000,0.000,0.000,0.000
3189,1188.185,1191.116,1191.116,1183.330,1170.076,143.702,374.474,0.000,29.714,0.000,0.000,0.000,0.000,348.131,276.797,0.000,10.511,0.000,0.000,0.000,0.000
3190,1188.565,1137.951,1137.951,1183.127,1170.159,143.783,374.510,0.000,29.716,0.000,0.000,0.000,0.000,348.165,276.824,0.000,10.131,0.000,0.000,0.000,0.000
3191,1188.945,1197.880,1197.880,1182.938,1170.242,143.865,374.545,0.000,29.719,0.000,0.000,0.000,0.000,348.198,276.850,0.000,9.761,0.000,0.000,0.000,0.000
3192,1189.325,1160.888,1160.888,1182.761,1170.326,143.949,374.581,0.000,29.721,0.000,0.000,0.000,0.000,348.230,276.876,0.000,9.404,0.000,0.000,0.000,0.000
3193,1189.706,1084.719,1084.719,1182.597,1170.409,144.034,374.616,0.000,29.724,0.000,0.000,0.000,0.000,348.263,276.902,0.000,9.058,0.000,0.000,0.000,0.000
3194,1190.086,1177.579,1177.579,1182.445,1170.492,144.122,374.651,0.000,29.726,0.000,0.000,0.000,0.000,348.295,276.928,0.000,8.723,0.000,0.000,0.000,0.000
3195,1190.466,1174.880,1174.880,1182.305,1170.576,144.212,374.686,0.000,29.729,0.000,0.000,0.000,0.000,348.328,276.954,0.000,8.398,0.000,0.000,0.000,0.000
3196,1190.846,1192.577,1192.577,1182.178,1170.659,144.303,374.720,0.000,29.731,0.000,0.000,0.000,0.000,348.360,276.979,0.000,8.084,0.000,0.000,0.000,0.000
3197,1191.226,1157.263,1157.263,1182.062,1170.742,144.396,374.755,0.000,29.734,0.000,0.000,0.000,0.000,348.392,277.005,0.000,7.780,0.000,0.000,0.000,0.000
3198,1191.606,1110.643,1110.643,1181.957,1170.826,144.491,374.789,0.000,29.736,0.000,0.000,0.000,0.000,348.424,277.030,0.000,7.486,0.000,0.000,0.000,0.000
3199,1191.986,1122.726,1122.726,1181.864,1170.909,144.589,374.823,0.000,29.739,0.000,0.000,0.000,0.000,348.456,277.055,0.000,7.202,0.000,0.000,0.000,0.000
3200,1192.366,1217.439,1217.439,1181.782,1170.992,144.688,374.858,0.000,29.742,0.000,0.000,0.000,0.000,348.488,277.081,0.000,6.927,0.000,0.000,0.000,0.000
3201,1192.746,1124.802,1124.802,1181.710,1171.076,144.788,374.892,0.000,29.744,0.000,0.000,0.000,0.000,348.519,277.106,0.000,6.661,0.000,0.000,0.000,0.000
3202,1193.126,1181.422,1181.422,1181.649,1171.159,144.891,374.925,0.000,29.747,0.000,0.000,0.000,0.000,348.551,277.131,0.000,6.404,0.000,0.000,0.000,0.000
3203,1193.506,1174.037,1174.037,1181.599,1171.242,144.996,374.959,0.000,29.749,0.000,0.000,0.000,0.000,348.582,277.156,0.000,6.156,0.000,0.000,0.000,0.000
3204,1193.886,1135.498,1135.498,1181.558,1171.326,145.102,374.993,0.000,29.752,0.000,0.000,0.000,0.000,348.614,277.181,0.000,5.916,0.000,0.000,0.000,0.000
3205,1194.266,1172.797,1172.797,1181.527,1171.409,145.211,375.027,0.000,29.754,0.000,0.000,0.000,0.000,348.645,277.206,0.000,5.685,0.000,0.000,0.000,0.000
3206,1194.646,1154.579,1154.579,1181.506,1171.492,145.321,375.060,0.000,29.757,0.000,0.000,0.000,0.000,348.676,277.230,0.000,5.461,0.000,0.000,0.000,0.000
3207,1195.026,1200.123,1200.123,1181.494,1171.576,145.433,375.094,0.000,29.759,0.000,0.000,0.000,0.000,348.707,277.255,0.000,5.245,0.000,0.000,0.000,0.000
3208,1195.407,1124.420,1124.420,1181.492,1171.659,145.548,375.127,0.000,29.762,0.000,0.000,0.000,0.000,348.738,277.280,0.000,5.037,0.000,0.000,0.000,0.000
3209,1195.787,1106.417,1106.417,1181.499,1171.742,145.664,375.161,0.000,29.764,0.000,0.000,0.000,0.000,348.769,277.305,0.000,4.836,0.000,0.000,0.000,0.000
3210,1196.167,1146.187,1146.187,1181.514,1171.826,145.781,375.194,0.000,29.767,0.000,0.000,0.000,0.000,348.800,277.329,0.000,4.642,0.000,0.000,0.000,0.000
3211,1196.547,1111.121,1111.121,1181.538,1171.909,145.901,375.227,0.000,29.770,0.000,0.000,0.000,0.000,348.831,277.354,0.000,4.455,0.000,0.000,0.000,0.000
3212,1196.927,1111.728,1111.728,1181.571,1171.992,146.023,375.260,0.000,29.772,0.000,0.000,0.000,0.000,348.862,277.378,0.000,4.275,0.000,0.000,0.000,0.000
3213,1197.307,1169.116,1169.116,1181.611,1172.076,146.146,375.294,0.000,29.775,0.000,0.000,0.000,0.000,348.893,277.403,0.000,4.101,0.000,0.000,0.000,0.000
3214,1197.687,1142.349,1142.349,1181.660,1172.159,146.272,375.327,0.000,29.777,0.000,0.000,0.000,0.000,348.924,277.427,0.000,3.933,0.000,0.000,0.000,0.000
3215,1198.067,1216.885,1216.885,1181.717,1172.242,146.399,375.360,0.000,29.780,0.000,0.000,0.000,0.000,348.955,277.452,0.000,3.772,0.000,0.000,0.000,0.000
3216,1198.447,1105.506,1105.506,1181.781,1172.326,146.528,375.393,0.000,29.782,0.000,0.000,0.000,0.000,348.986,277.476,0.000,3.616,0.000,0.000,0.000,0.000
3217,1198.828,1215.586,1215.586,1181.853,1172.409,146.659,375.426,0.000,29.785,0.000,0.000,0.000,0.000,349.016,277.501,0.000,3.466,0.000,0.000,0.000,0.000
3218,1199.208,1118.572,1118.572,1181.932,1172.492,146.791,375.459,0.000,29.788,0.000,0.000,0.000,0.000,349.047,277.525,0.000,3.322,0.000,0.000,0.000,0.000
3219,1199.588,1116.263,1116.263,1182.019,1172.576,146.926,375.492,0.000,29.790,0.000,0.000,0.000,0.000,349.078,277.550,0.000,3.183,0.000,0.000,0.000,0.000
3220,1199.968,1089.422,1089.422,1182.112,1172.659,147.062,375.526,0.000,29.793,0.000,0.000,0.000,0.000,349.109,277.574,0.000,3.049,0.000,0.000,0.000,0.000
3221,1200.348,1157.344,1157.344,1182.213,1172.742,147.200,375.559,0.000,29.795,0.000,0.000,0.000,0.000,349.140,277.599,0.000,2.920,0.000,0.000,0.000,0.000
3222,1200.728,1136.349,1136.349,1182.320,1172.826,147.340,375.592,0.000,29.798,0.000,0.000,0.000,0.000,349.170,277.623,0.000,2.796,0.000,0.000,0.000,0.000
3223,1201.108,1185.577,1185.577,1182.433,1172.909,147.481,375.625,0.000,29.800,0.000,0.000,0.000,0.000,349.201,277.648,0.000,2.677,0.000,0.000,0.000,0.000
3224,1201.488,1265.194,1265.194,1182.553,1172.992,147.625,375.658,0.000,29.803,0.000,0.000,0.000,0.000,349.232,277.672,0.000,2.562,0.000,0.000,0.000,0.000
3225,1201.869,1133.103,1133.103,1182.315,1172.712,147.726,375.575,0.000,29.796,0.000,0.000,0.000,0.000,349.155,277.611,0.000,2.452,0.000,0.000,0.000,0.000
3226,1202.249,1186.037,1186.037,1182.084,1172.432,147.829,375.492,0.000,29.790,0.000,0.000,0.000,0.000,349.077,277.549,0.000,2.346,0.000,0.000,0.000,0.000
3227,1202.629,1157.263,1157.263,1181.858,1172.152,147.934,375.409,0.000,29.783,0.000,0.000,0.000,0.000,349.000,277.488,0.000,2.244,0.000,0.000,0.000,0.000
3228,1203.009,1150.812,1150.812,1181.638,1171.872,148.040,375.325,0.000,29.777,0.000,0.000,0.000,0.000,348.923,277.427,0.000,2.147,0.000,0.000,0.000,0.000
3229,1203.389,1143.731,1143.731,1181.424,1171.591,148.148,375.242,0.000,29.770,0.000,0.000,0.000,0.000,348.845,277.365,0.000,2.053,0.000,0.000,0.000,0.000
3230,1203.769,1159.268,1159.268,1181.215,1171.311,148.258,375.159,0.000,29.763,0.000,0.000,0.000,0.000,348.768,277.304,0.000,1.962,0.000,0.000,0.000,0.000
3231,1204.150,1153.579,1153.579,1181.011,1171.031,148.369,375.076,0.000,29.757,0.000,0.000,0.000,0.000,348.691,277.242,0.000,1.876,0.000,0.000,0.000,0.000
3232,1204.530,1210.736,1210.736,1180.813,1170.751,148.482,374.993,0.000,29.750,0.000,0.000,0.000,0.000,348.614,277.181,0.000,1.792,0.000,0.000,0.000,0.000
3233,1204.910,1171.513,1171.513,1180.619,1170.470,148.596,374.910,0.000,29.743,0.000,0.000,0.000,0.000,348.537,277.120,0.000,1.713,0.000,0.000,0.000,0.000
3234,1205.290,1182.954,1182.954,1180.431,1170.190,148.712,374.828,0.000,29.737,0.000,0.000,0.000,0.000,348.460,277.059,0.000,1.636,0.000,0.000,0.000,0.000
3235,1205.670,1169.819,1169.819,1180.247,1169.910,148.829,374.745,0.000,29.730,0.000,0.000,0.000,0.000,348.383,276.997,0.000,1.562,0.000,0.000,0.000,0.000
3236,1206.050,1195.812,1195.812,1180.068,1169.630,148.948,374.662,0.000,29.724,0.000,0.000,0.000,0.000,348.306,276.936,0.000,1.492,0.000,0.000,0.000,0.000
3237,1206.431,1147.503,1147.503,1179.893,1169.349,149.068,374.579,0.000,29.717,0.000,0.000,0.000,0.000,348.229,276.875,0.000,1.424,0.000,0.000,0.000,0.000
3238,1206.811,1179.971,1179.971,1179.723,1169.069,149.189,374.497,0.000,29.711,0.000,0.000,0.000,0.000,348.152,276.814,0.000,1.359,0.000,0.000,0.000,0.000
3239,1207.191,1146.045,1146.045,1179.557,1168.789,149.312,374.414,0.000,29.704,0.000,0.000,0.000,0.000,348.076,276.753,0.000,1.297,0.000,0.000,0.000,0.000
3240,1207.571,1158.726,1158.726,1179.395,1168.509,149.436,374.332,0.000,29.697,0.000,0.000,0.000,0.000,347.999,276.692,0.000,1.238,0.000,0.000,0.000,0.000
3241,1207.951,1209.819,1209.819,1179.236,1168.229,149.562,374.249,0.000,29.691,0.000,0.000,0.000,0.000,347.922,276.631,0.000,1.181,0.000,0.000,0.000,0.000
3242,1208.332,1168.900,1168.900,1179.082,1167.948,149.688,374.167,0.000,29.684,0.000,0.000,0.000,0.000,347.846,276.570,0.000,1.126,0.000,0.000,0.000,0.000
3243,1208.712,1249.356,1249.356,1178.932,1167.668,149.816,374.085,0.000,29.678,0.000,0.000,0.000,0.000,347.769,276.510,0.000,1.074,0.000,0.000,0.000,0.000
3244,1209.092,1112.351,1112.351,1178.785,1167.388,149.945,374.003,0.000,29.671,0.000,0.000,0.000,0.000,347.693,276.449,0.000,1.024,0.000,0.000,0.000,0.000
3245,1209.472,1223.662,1223.662,1178.641,1167.108,150.075,373.921,0.000,29.665,0.000,0.000,0.000,0.000,347.617,276.388,0.000,0.976,0.000,0.000,0.000,0.000
3246,1209.852,1196.275,1196.275,1178.501,1166.827,150.206,373.839,0.000,29.658,0.000,0.000,0.000,0.000,347.541,276.328,0.000,0.930,0.000,0.000,0.000,0.000
3247,1210.233,1199.197,1199.197,1178.364,1166.547,150.338,373.757,0.000,29.652,0.000,0.000,0.000,0.000,347.465,276.267,0.000,0.886,0.000,0.000,0.000,0.000
3248,1210.613,1166.650,1166.650,1178.230,1166.267,150.470,373.675,0.000,29.645,0.000,0.000,0.000,0.000,347.389,276.207,0.000,0.844,0.000,0.000,0.000,0.000
3249,1210.993,1058.346,1058.346,1178.099,1165.987,150.604,373.594,0.000,29.639,0.000,0.000,0.000,0.000,347.313,276.146,0.000,0.804,0.000,0.000,0.000,0.000
3250,1211.373,1145.501,1145.501,1177.971,1165.706,150.739,373.512,0.000,29.632,0.000,0.000,0.000,0.000,347.237,276.086,0.000,0.765,0.000,0.000,0.000,0.000
3251,1211.753,1173.738,1173.738,1177.846,1165.426,150.874,373.431,0.000,29.626,0.000,0.000,0.000,0.000,347.161,276.026,0.000,0.728,0.000,0.000,0.000,0.000
3252,1212.134,1170.885,1170.885,1177.724,1165.146,151.011,373.349,0.000,29.619,0.000,0.000,0.000,0.000,347.085,275.966,0.000,0.693,0.000,0.000,0.000,0.000
3253,1212.514,1159.814,1159.814,1177.604,1164.866,151.147,373.268,0.000,29.613,0.000,0.000,0.000,0.000,347.010,275.906,0.000,0.660,0.000,0.000,0.000,0.000
3254,1212.894,1155.657,1155.657,1177.486,1164.586,151.285,373.187,0.000,29.606,0.000,0.000,0.000,0.000,346.934,275.846,0.000,0.628,0.000,0.000,0.000,0.000
3255,1213.274,1160.283,1160.283,1177.371,1164.305,151.423,373.106,0.000,29.600,0.000,0.000,0.000,0.000,346.859,275.786,0.000,0.597,0.000,0.000,0.000,0.000
3256,1213.655,1204.285,1204.285,1177.258,1164.025,151.562,373.025,0.000,29.594,0.000,0.000,0.000,0.000,346.784,275.726,0.000,0.568,0.000,0.000,0.000,0.000
3257,1214.035,1201.349,1201.349,1177.147,1163.745,151.701,372.944,0.000,29.587,0.000,0.000,0.000,0.000,346.709,275.666,0.000,0.540,0.000,0.000,0.000,0.000
3258,1214.415,1198.283,1198.283,1177.038,1163.465,151.840,372.863,0.000,29.581,0.000,0.000,0.000,0.000,346.634,275.606,0.000,0.513,0.000,0.000,0.000,0.000
3259,1214.795,1155.809,1155.809,1176.931,1163.184,151.980,372.783,0.000,29.574,0.000,0.000,0.000,0.000,346.559,275.547,0.000,0.488,0.000,0.000,0.000,0.000
3260,1215.176,1193.898,1193.898,1176.825,1162.904,152.120,372.702,0.000,29.568,0.000,0.000,0.000,0.000,346.484,275.487,0.000,0.464,0.000,0.000,0.000,0.000
3261,1215.556,1216.751,1216.751,1176.722,1162.624,152.261,372.622,0.000,29.562,0.000,0.000,0.000,0.000,346.409,275.428,0.000,0.440,0.000,0.000,0.000,0.000
3262,1215.936,1182.430,1182.430,1176.620,1162.344,152.401,372.541,0.000,29.555,0.000,0.000,0.000,0.000,346.335,275.369,0.000,0.418,0.000,0.000,0.000,0.000
3263,1216.316,1201.270,1201.270,1176.519,1162.063,152.542,372.461,0.000,29.549,0.000,0.000,0.000,0.000,346.260,275.309,0.000,0.397,0.000,0.000,0.000,0.000
3264,1216.697,1185.207,1185.207,1176.419,1161.783,152.683,372.381,0.000,29.543,0.000,0.000,0.000,0.000,346.186,275.250,0.000,0.377,0.000,0.000,0.000,0.000
3265,1217.077,1068.888,1068.888,1176.321,1161.503,152.823,372.301,0.000,29.536,0.000,0.000,0.000,0.000,346.111,275.191,0.000,0.358,0.000,0.000,0.000,0.000
3266,1217.457,1183.966,1183.966,1176.224,1161.223,152.964,372.222,0.000,29.530,0.000,0.000,0.000,0.000,346.037,275.132,0.000,0.340,0.000,0.000,0.000,0.000
3267,1217.837,1232.498,1232.498,1176.128,1160.943,153.104,372.142,0.000,29.524,0.000,0.000,0.000,0.000,345.963,275.073,0.000,0.323,0.000,0.000,0.000,0.000
3268,1218.218,1247.662,1247.662,1176.033,1160.662,153.244,372.062,0.000,29.517,0.000,0.000,0.000,0.000,345.889,275.014,0.000,0.306,0.000,0.000,0.000,0.000
3269,1218.598,1247.280,1247.280,1175.939,1160.382,153.384,371.983,0.000,29.511,0.000,0.000,0.000,0.000,345.815,274.956,0.000,0.290,0.000,0.000,0.000,0.000
3270,1218.978,1242.439,1242.439,1175.845,1160.102,153.523,371.904,0.000,29.505,0.000,0.000,0.000,0.000,345.741,274.897,0.000,0.275,0.000,0.000,0.000,0.000
3271,1219.358,1167.037,1167.037,1175.752,1159.822,153.662,371.824,0.000,29.498,0.000,0.000,0.000,0.000,345.668,274.839,0.000,0.261,0.000,0.000,0.000,0.000
3272,1219.739,1207.665,1207.665,1175.660,1159.541,153.801,371.745,0.000,29.492,0.000,0.000,0.000,0.000,345.594,274.780,0.000,0.247,0.000,0.000,0.000,0.000
3273,1220.119,1155.506,1155.506,1175.568,1159.261,153.938,371.666,0.000,29.486,0.000,0.000,0.000,0.000,345.521,274.722,0.000,0.234,0.000,0.000,0.000,0.000
3274,1220.499,1179.812,1179.812,1175.476,1158.981,154.076,371.587,0.000,29.480,0.000,0.000,0.000,0.000,345.448,274.664,0.000,0.222,0.000,0.000,0.000,0.000
3275,1220.880,1180.890,1180.890,1175.384,1158.701,154.212,371.509,0.000,29.473,0.000,0.000,0.000,0.000,345.374,274.605,0.000,0.210,0.000,0.000,0.000,0.000
3276,1221.260,1196.354,1196.354,1175.293,1158.420,154.347,371.430,0.000,29.467,0.000,0.000,0.000,0.000,345.301,274.547,0.000,0.199,0.000,0.000,0.000,0.000
3277,1221.640,1167.354,1167.354,1175.201,1158.140,154.482,371.352,0.000,29.461,0.000,0.000,0.000,0.000,345.228,274.489,0.000,0.189,0.000,0.000,0.000,0.000
3278,1222.021,1189.361,1189.361,1175.110,1157.860,154.616,371.273,0.000,29.455,0.000,0.000,0.000,0.000,345.156,274.431,0.000,0.179,0.000,0.000,0.000,0.000
3279,1222.401,1248.665,1248.665,1175.018,1157.580,154.748,371.195,0.000,29.448,0.000,0.000,0.000,0.000,345.083,274.374,0.000,0.169,0.000,0.000,0.000,0.000
3280,1222.781,1155.969,1155.969,1174.925,1157.300,154.880,371.117,0.000,29.442,0.000,0.000,0.000,0.000,345.010,274.316,0.000,0.160,0.000,0.000,0.000,0.000
3281,1223.161,1175.662,1175.662,1174.833,1157.019,155.010,371.039,0.000,29.436,0.000,0.000,0.000,0.000,344.938,274.258,0.000,0.152,0.000,0.000,0.000,0.000
3282,1223.542,1249.743,1249.743,1174.740,1156.739,155.139,370.961,0.000,29.430,0.000,0.000,0.000,0.000,344.865,274.201,0.000,0.143,0.000,0.000,0.000,0.000
